explizit	implizit	klar und direkt gesagt	nicht direkt gesagt, aber mitgemeint	Она сформулировала свое требование прямо и недвусмысленно.	Упрек прозвучал только между строк.	Sie formulierte ihre Forderung explizit und ohne Umschweife.	Der Vorwurf blieb implizit, war aber für alle deutlich spürbar.	antonym::pair level::c1 domain::communication domain::argumentation
zwingend	fakultativ	unbedingt notwendig oder vorgeschrieben	freiwillig und nicht vorgeschrieben	Участие в этом модуле обязательно.	Этот семинар можно посещать по желанию.	Die Teilnahme an diesem Modul ist zwingend.	Dieses Seminar ist fakultativ.	antonym::pair level::c1 domain::education
transparent	intransparent	klar nachvollziehbar und offen	schwer nachvollziehbar und nicht offen	Процесс отбора должен быть прозрачным.	Решение было принято непрозрачно.	Das Auswahlverfahren muss transparent sein.	Die Entscheidung war intransparent.	antonym::pair level::c1 domain::organization
flexibel	unflexibel	leicht an neue Bedingungen anpassbar	schwer an neue Bedingungen anpassbar	Нам нужен более гибкий график.	Эта система слишком негибкая.	Wir brauchen einen flexiblen Zeitplan.	Dieses System ist zu unflexibel.	antonym::pair level::c1 domain::organization
kompatibel	inkompatibel	zusammen nutzbar und technisch passend	nicht zusammen nutzbar oder technisch passend	Обе программы между собой совместимы.	Эти две версии несовместимы.	Beide Programme sind miteinander kompatibel.	Diese beiden Versionen sind inkompatibel.	antonym::pair level::c1 domain::technology
effizient	ineffizient	mit wenig Aufwand sehr wirksam	mit viel Aufwand und wenig Nutzen	Команда сейчас работает очень эффективно.	Этот процесс по-прежнему неэффективен.	Das Team arbeitet derzeit sehr effizient.	Dieser Ablauf ist weiterhin ineffizient.	antonym::pair level::c1 domain::organization
produktiv	kontraproduktiv	mit gutem Ergebnis und Nutzen	dem Ziel eher schadend	Обсуждение оказалось на удивление продуктивным.	Его вмешательство только навредило делу.	Die Diskussion war überraschend produktiv.	Sein Eingreifen war eher kontraproduktiv.	antonym::pair level::c1 domain::organization
relevant	irrelevant	für die Sache wichtig	für die Sache ohne Bedeutung	Для исследования этот фактор важен.	Эта деталь здесь не имеет значения.	Für die Studie ist dieser Faktor relevant.	Dieses Detail ist hier irrelevant.	antonym::pair level::c1 domain::abstract
nachhaltig	kurzfristig	auf lange Sicht wirksam und tragfähig	nur auf kurze Sicht gedacht	Нам нужно устойчивое решение проблемы.	Они снова думают только на короткую перспективу.	Wir brauchen eine nachhaltige Lösung für das Problem.	Sie denken wieder nur kurzfristig.	antonym::pair level::c1 domain::organization
kohärent	widersprüchlich	logisch zusammenhängend und stimmig	nicht stimmig und gegensätzlich	Его доклад был логично выстроен.	Ее аргументация осталась противоречивой.	Sein Vortrag war kohärent aufgebaut.	Ihre Argumentation blieb widersprüchlich.	antonym::pair level::c1 domain::argumentation
friedlich	gewaltsam	ohne Gewalt und Aggression	mit Gewalt verbunden	Протест оставался мирным до конца.	Задержание произошло с применением силы.	Der Protest blieb bis zum Ende friedlich.	Die Festnahme verlief gewaltsam.	antonym::pair level::c1 domain::society
integrativ	ausgrenzend	auf Einbeziehung aller gerichtet	andere ausschließend	Школа проводит политику включения всех детей.	Его комментарий звучал исключающе.	Die Schule verfolgt einen integrativen Ansatz.	Sein Kommentar wirkte ausgrenzend.	antonym::pair level::c1 domain::society
solidarisch	egoistisch	gemeinsam und mit Rücksicht auf andere	nur auf den eigenen Vorteil bedacht	В кризис люди должны действовать солидарно.	Он снова повел себя эгоистично.	In der Krise sollten die Menschen solidarisch handeln.	Er hat sich wieder egoistisch verhalten.	antonym::pair level::c1 domain::behavior
konstruktiv	destruktiv	hilfreich und auf Lösung gerichtet	schädlich und zerstörerisch	Критика была жесткой, но конструктивной.	Его замечания действовали разрушительно.	Die Kritik war hart, aber konstruktiv.	Seine Bemerkungen wirkten destruktiv.	antonym::pair level::c1 domain::communication
freiwillig	erzwungen	aus eigenem Entschluss	unter Druck zustande gekommen	Он пришел на встречу добровольно.	Признание было выбито под давлением.	Er kam freiwillig zu dem Gespräch.	Das Geständnis war erzwungen.	antonym::pair level::c1 domain::law
einvernehmlich	konfrontativ	im gegenseitigen Einverständnis	auf offenen Gegensatz gerichtet	Стороны разошлись по обоюдному согласию.	Переговоры быстро стали конфронтационными.	Die Parteien trennten sich einvernehmlich.	Die Gespräche wurden schnell konfrontativ.	antonym::pair level::c1 domain::negotiation
offenkundig	verborgen	für alle klar erkennbar	nicht sichtbar oder erkennbar	Ошибка была совершенно очевидной.	Настоящий мотив оставался скрытым.	Der Fehler war offenkundig.	Das eigentliche Motiv blieb verborgen.	antonym::pair level::c1 domain::abstract
zugänglich	unzugänglich	leicht erreichbar oder verständlich	schwer erreichbar oder verständlich	Ее объяснение было понятно даже неспециалистам.	Без ключа архив остается недоступным.	Ihre Erklärung war auch für Laien gut zugänglich.	Ohne Schlüssel bleibt das Archiv unzugänglich.	antonym::pair level::c1 domain::communication
aufgeschlossen	verschlossen	offen für Menschen und neue Ideen	innerlich wenig offen und reserviert	Новая коллега кажется очень открытой.	На собеседовании он выглядел замкнутым.	Die neue Kollegin wirkt sehr aufgeschlossen.	Im Gespräch wirkte er eher verschlossen.	antonym::pair level::c1 domain::behavior
sachlich	emotional	nüchtern und auf die Sache bezogen	stark von Gefühlen bestimmt	Пожалуйста, отвечай по существу.	Его реакция была слишком эмоциональной.	Bitte bleib in deiner Antwort sachlich.	Seine Reaktion war zu emotional.	antonym::pair level::c1 domain::communication
nüchtern	pathetisch	schlicht und ohne Pathos	übertrieben feierlich und gefühlsbetont	Текст написан очень сдержанно.	Речь звучала излишне пафосно.	Der Text ist sehr nüchtern formuliert.	Die Rede klang pathetisch.	antonym::pair level::c1 domain::style
beharrlich	wankelmütig	ausdauernd und nicht leicht aufgebend	seine Meinung oft wechselnd	Она упорно идет к своей цели.	Он слишком непостоянен в своих решениях.	Sie verfolgt ihr Ziel beharrlich.	Er ist in seinen Entscheidungen sehr wankelmütig.	antonym::pair level::c1 domain::behavior
konsequent	inkonsequent	folgerichtig und ohne Abweichung	nicht folgerichtig und wechselhaft	Правила нужно применять последовательно.	Его позиция опять непоследовательна.	Die Regeln müssen konsequent angewendet werden.	Seine Haltung ist wieder inkonsequent.	antonym::pair level::c1 domain::organization
umsichtig	leichtsinnig	vorsichtig und mit Überblick	riskant und ohne genug Nachdenken	Она действовала очень осмотрительно.	Такой риск был бы безрассудным.	Sie handelte sehr umsichtig.	Ein solches Risiko wäre leichtsinnig.	antonym::pair level::c1 domain::behavior
bedacht	unbedacht	ruhig und gut überlegt	ohne nachzudenken gesagt oder getan	Он ответил спокойно и обдуманно.	Это замечание было сказано необдуманно.	Er antwortete ruhig und bedacht.	Diese Bemerkung war unbedacht.	antonym::pair level::c1 domain::behavior
rücksichtsvoll	rücksichtslos	mit Blick auf die Gefühle anderer	ohne Rücksicht auf andere	Она повела себя очень деликатно по отношению к нему.	Начальник принял решение без всякого учета чужих интересов.	Sie war ihm gegenüber sehr rücksichtsvoll.	Der Chef entschied völlig rücksichtslos.	antonym::pair level::c1 domain::behavior
besonnen	impulsiv	ruhig und überlegt	spontan und wenig kontrolliert	В этой ситуации нужно действовать хладнокровно.	Его решение было слишком спонтанным.	In dieser Lage sollte man besonnen handeln.	Seine Entscheidung war zu impulsiv.	antonym::pair level::c1 domain::behavior
souverän	unsicher	sicher und selbstbewusst	nicht selbstsicher und zögernd	На сцене она держалась уверенно.	Во время доклада он выглядел неуверенным.	Auf der Bühne wirkte sie souverän.	Während des Vortrags wirkte er unsicher.	antonym::pair level::c1 domain::behavior
anpassungsfähig	starr	fähig, sich schnell umzustellen	kaum veränderbar oder unbeweglich im Denken	Эта команда быстро приспосабливается к переменам.	Структура компании слишком негибкая.	Dieses Team ist sehr anpassungsfähig.	Die Struktur des Unternehmens ist zu starr.	antonym::pair level::c1 domain::organization
eigenständig	abhängig	selbstständig und ohne fremde Hilfe	auf andere angewiesen	Она уже работает совершенно самостоятельно.	Проект слишком зависит от одного человека.	Sie arbeitet bereits sehr eigenständig.	Das Projekt ist zu abhängig von einer Person.	antonym::pair level::c1 domain::organization
befristet	unbefristet	zeitlich begrenzt	ohne festes Enddatum	У него срочный договор на один год.	Теперь у нее бессрочный договор.	Er hat einen befristeten Vertrag für ein Jahr.	Sie hat inzwischen einen unbefristeten Vertrag.	antonym::pair level::c1 domain::work
vorläufig	endgültig	noch nicht endgültig	abschließend und nicht mehr vorläufig	Это пока только предварительное решение.	Окончательный ответ мы получили сегодня.	Das ist nur eine vorläufige Entscheidung.	Die endgültige Antwort haben wir heute erhalten.	antonym::pair level::c1 domain::organization
stabil	instabil	dauerhaft im Gleichgewicht	leicht aus dem Gleichgewicht geratend	После ремонта система снова работает стабильно.	Из-за кризиса рынок остается нестабильным.	Nach der Reparatur ist das System wieder stabil.	Wegen der Krise bleibt der Markt instabil.	antonym::pair level::c1 domain::organization
robust	anfällig	widerstandsfähig und belastbar	leicht störbar oder angreifbar	Эта конструкция очень прочная.	Старая сеть слишком подвержена сбоям.	Diese Konstruktion ist sehr robust.	Das alte Netz ist zu anfällig für Störungen.	antonym::pair level::c1 domain::technology
authentisch	gekünstelt	echt und nicht gespielt	unnatürlich und aufgesetzt	Ее выступление казалось очень искренним.	Улыбка выглядела натянутой.	Ihr Auftritt wirkte sehr authentisch.	Das Lächeln sah gekünstelt aus.	antonym::pair level::c1 domain::communication
glaubwürdig	unglaubwürdig	vertrauenswürdig und überzeugend	nicht überzeugend oder kaum glaubhaft	Свидетель показался суду убедительным.	Его версия истории звучит недостоверно.	Der Zeuge wirkte vor Gericht glaubwürdig.	Seine Version der Geschichte ist unglaubwürdig.	antonym::pair level::c1 domain::argumentation
verlässlich	unzuverlässig	so, dass man sich darauf verlassen kann	nicht beständig oder vertrauenswürdig	На этого коллегу можно положиться.	Поставщик снова оказался ненадежным.	Dieser Kollege ist verlässlich und hält seine Zusagen ein.	Der Lieferant erwies sich erneut als unzuverlässig.	antonym::pair level::c1 domain::work
gerecht	ungerecht	fair und angemessen	unfair und nicht angemessen	Такое распределение кажется справедливым.	Наказание было явно несправедливым.	Diese Verteilung wirkt gerecht.	Die Strafe war offensichtlich ungerecht.	antonym::pair level::c1 domain::society
diskret	indiskret	taktvoll und zurückhaltend	zu neugierig oder ohne Takt	Она очень тактично промолчала.	Его вопрос был бестактным.	Sie blieb in der Situation diskret.	Seine Frage war indiskret.	antonym::pair level::c1 domain::behavior
förderlich	hinderlich	für etwas nützlich und hilfreich	den Ablauf störend oder erschwerend	Спокойная атмосфера полезна для работы.	Постоянные перебои мешают процессу.	Eine ruhige Atmosphäre ist der Arbeit förderlich.	Ständige Unterbrechungen sind dem Ablauf hinderlich.	antonym::pair level::c1 domain::organization
begünstigen	behindern	etwas wahrscheinlicher oder leichter machen	etwas erschweren oder aufhalten	Налоговые льготы могут стимулировать инвестиции.	Плохая инфраструктура тормозит развитие.	Steuererleichterungen können Investitionen begünstigen.	Die schlechte Infrastruktur kann die Entwicklung behindern.	antonym::pair level::c1 domain::economy
fördern	hemmen	positiv unterstützen und voranbringen	bremsen oder in der Entwicklung stören	Хороший преподаватель должен поддерживать интерес.	Страх ошибки тормозит речь.	Ein guter Lehrer sollte Interesse fördern.	Die Angst vor Fehlern kann das Sprechen hemmen.	antonym::pair level::c1 domain::education
beschleunigen	verlangsamen	schneller machen	langsamer machen	Новые меры должны ускорить процесс.	Проверка снова замедлит выпуск проекта.	Die neuen Maßnahmen sollen den Prozess beschleunigen.	Die Prüfung wird das Projekt verlangsamen.	antonym::pair level::c1 domain::process
bestätigen	widerlegen	als richtig belegen	als falsch nachweisen	Эти данные подтверждают гипотезу.	Новые факты опровергают старое утверждение.	Diese Daten bestätigen die Hypothese.	Neue Fakten widerlegen die alte Behauptung.	antonym::pair level::c1 domain::argumentation
verdeutlichen	verschleiern	klarer machen	unklarer machen oder verbergen	Этот пример хорошо проясняет проблему.	Такая формулировка скорее затуманивает смысл.	Dieses Beispiel kann das Problem verdeutlichen.	Eine solche Formulierung kann den Sinn eher verschleiern.	antonym::pair level::c1 domain::communication
verschärfen	entschärfen	spürbar schlimmer oder härter machen	weniger angespannt oder gefährlich machen	Этот шаг только обострит конфликт.	Нужно срочно снять напряжение в группе.	Dieser Schritt wird den Konflikt eher verschärfen.	Wir müssen die Lage in der Gruppe dringend entschärfen.	antonym::pair level::c1 domain::negotiation
stabilisieren	destabilisieren	fester und verlässlicher machen	aus dem Gleichgewicht bringen	Реформа должна стабилизировать систему.	Эти слухи только расшатывают рынок.	Die Reform soll das System stabilisieren.	Diese Gerüchte könnten den Markt destabilisieren.	antonym::pair level::c1 domain::economy
ausweiten	einschränken	größer machen oder auf mehr Bereiche erstrecken	enger begrenzen oder verkleinern	Компания хочет расширить свое присутствие на рынке.	Новый закон ограничит эти права.	Das Unternehmen will seine Präsenz am Markt ausweiten.	Das neue Gesetz wird diese Rechte einschränken.	antonym::pair level::c1 domain::politics
vereinheitlichen	differenzieren	gleich machen oder nach einem Muster ordnen	Unterschiede klar herausarbeiten	Мы хотим унифицировать критерии оценки.	Исследование должно четко различать группы.	Wir wollen die Bewertungskriterien vereinheitlichen.	Die Studie muss die Gruppen klar differenzieren.	antonym::pair level::c1 domain::organization
verdichten	auflockern	dichter und konzentrierter machen	lockerer und leichter wirken lassen	Автор сильно уплотнил изложение.	Нужно немного разрядить этот текст примерами.	Der Autor hat die Darstellung stark verdichtet.	Wir sollten den Text mit Beispielen etwas auflockern.	antonym::pair level::c1 domain::style
bewahren	zerstören	erhalten und schützen	kaputt machen oder vernichten	Мы должны сохранить этот исторический центр.	Война может полностью разрушить такие памятники.	Wir müssen diese Altstadt bewahren.	Der Krieg kann solche Denkmäler zerstören.	antonym::pair level::c1 domain::society
anerkennen	aberkennen	offiziell als gültig akzeptieren	offiziell wieder entziehen	Суд должен признать это право.	У него могут отозвать лицензию.	Das Gericht muss dieses Recht anerkennen.	Ihm könnte die Lizenz aberkannt werden.	antonym::pair level::c1 domain::law
einbeziehen	ausschließen	mit berücksichtigen oder teilnehmen lassen	nicht mitmachen lassen oder außen vor lassen	При планировании нужно учитывать всех участников.	Нельзя исключать никого из обсуждения.	Wir sollten alle Beteiligten einbeziehen.	Wir dürfen niemanden von der Diskussion ausschließen.	antonym::pair level::c1 domain::society
zulassen	unterbinden	geschehen lassen oder erlauben	aktiv stoppen und nicht erlauben	Такого поведения нельзя допускать.	Администрация хочет пресечь эти действия.	Wir dürfen ein solches Verhalten nicht zulassen.	Die Verwaltung will diese Praxis unterbinden.	antonym::pair level::c1 domain::law
ermöglichen	verhindern	möglich machen	dafür sorgen, dass etwas nicht passiert	Технология позволяет работать из дома.	Недостаток денег мешает запуску проекта.	Die Technik kann Arbeiten von zu Hause ermöglichen.	Der Geldmangel könnte den Start des Projekts verhindern.	antonym::pair level::c1 domain::technology
offenlegen	verheimlichen	offen zeigen oder mitteilen	bewusst geheim halten	Компания должна раскрыть свои данные.	Он пытался скрыть важную информацию.	Das Unternehmen muss seine Zahlen offenlegen.	Er versuchte, wichtige Informationen zu verheimlichen.	antonym::pair level::c1 domain::organization
befürworten	ablehnen	gutheißen und unterstützen	nicht akzeptieren wollen	Большинство поддерживает эту реформу.	Оппозиция решительно отвергает закон.	Die Mehrheit befürwortet diese Reform.	Die Opposition lehnt das Gesetz entschieden ab.	antonym::pair level::c1 domain::politics
zustimmen	widersprechen	einer Meinung oder Aussage zustimmend folgen	einer Aussage nicht entsprechen oder dagegen sein	Я могу согласиться с этим выводом.	Этот факт явно противоречит его версии.	Ich kann dieser Schlussfolgerung zustimmen.	Diese Tatsache scheint seiner Version zu widersprechen.	antonym::pair level::c1 domain::argumentation
unterstützen	hintertreiben	helfen und fördern	absichtlich behindern oder sabotieren	Друзья поддержали его решение.	Кто-то пытается сорвать весь проект.	Die Freunde wollten seine Entscheidung unterstützen.	Jemand versucht, das ganze Projekt zu hintertreiben.	antonym::pair level::c1 domain::organization
festigen	untergraben	stärker und sicherer machen	allmählich schwächen	Эта мера должна укрепить доверие.	Постоянная ложь подрывает авторитет.	Diese Maßnahme soll das Vertrauen festigen.	Ständige Lügen untergraben die Autorität.	antonym::pair level::c1 domain::society
annähern	entfremden	wieder näher zusammenbringen	innerlich voneinander entfernen	Общий проект снова сблизил их.	Годы молчания отдалили их друг от друга.	Das gemeinsame Projekt konnte sie wieder annähern.	Jahre des Schweigens haben sie einander entfremdet.	antonym::pair level::c1 domain::relation
verbinden	trennen	zusammenführen oder koppeln	voneinander abteilen oder auseinanderbringen	Этот мост соединяет два района.	Река разделяет обе деревни.	Diese Brücke kann zwei Stadtteile verbinden.	Der Fluss kann beide Dörfer trennen.	antonym::pair level::c1 domain::space
integrieren	isolieren	in eine Gemeinschaft einbeziehen	absondern und alleine stehen lassen	Школа старается интегрировать новых учеников.	Нельзя изолировать людей из-за акцента.	Die Schule will neue Kinder besser integrieren.	Man darf Menschen wegen ihres Akzents nicht isolieren.	antonym::pair level::c1 domain::society
stärken	schwächen	kräftiger oder wirksamer machen	an Kraft oder Wirkung verlieren lassen	Эта мера должна укрепить экономику.	Скандал может ослабить доверие к институту.	Diese Maßnahme soll die Wirtschaft stärken.	Der Skandal könnte das Vertrauen in die Institution schwächen.	antonym::pair level::c1 domain::economy
aufwerten	entwerten	im Wert oder Ansehen steigern	an Wert verlieren lassen	Ремонт заметно повысил ценность квартиры.	Инфляция быстро обесценивает накопления.	Die Renovierung konnte die Wohnung deutlich aufwerten.	Die Inflation kann Ersparnisse schnell entwerten.	antonym::pair level::c1 domain::economy
etablieren	abschaffen	dauerhaft einführen oder fest verankern	offiziell beenden und entfernen	Компания хочет закрепить новую практику.	Этот устаревший порядок пора отменить.	Das Unternehmen will die neue Praxis fest etablieren.	Man sollte diese veraltete Regelung abschaffen.	antonym::pair level::c1 domain::organization
wahren	verletzen	erhalten und respektieren	gegen etwas verstoßen oder es schädigen	Даже в споре нужно сохранять уважение.	Публикация нарушила его право на частную жизнь.	Auch im Streit sollte man den Respekt wahren.	Die Veröffentlichung hat sein Recht auf Privatsphäre verletzt.	antonym::pair level::c1 domain::law
rechtfertigen	beanstanden	als nachvollziehbar begründen	kritisch bemängeln	Новые расходы трудно оправдать.	Аудитор намерен оспорить этот пункт.	Die neuen Ausgaben lassen sich kaum rechtfertigen.	Der Prüfer wird diesen Punkt beanstanden.	antonym::pair level::c1 domain::organization
stabilität	instabilität	beständiger und sicherer Zustand	unruhiger und unsicherer Zustand	Стране сейчас нужна политическая стабильность.	После выборов возникла серьезная нестабильность.	Das Land braucht jetzt politische Stabilität.	Nach der Wahl entstand spürbare Instabilität.	antonym::pair level::c1 domain::politics
überfluss	mangel	mehr vorhanden als nötig	zu wenig von etwas Wichtigem	В больших городах часто есть избыток предложений.	В деревнях, наоборот, ощущается нехватка врачей.	In Großstädten gibt es oft einen Überfluss an Angeboten.	Auf dem Land herrscht dagegen Mangel an Ärzten.	antonym::pair level::c1 domain::society
konsens	dissens	Einigkeit in einer Frage	fehlende Einigkeit in einer Frage	После долгих переговоров все же возник консенсус.	По главному вопросу остается разногласие.	Nach langen Gesprächen entstand doch ein Konsens.	In der Kernfrage bleibt aber Dissens.	antonym::pair level::c1 domain::negotiation
nähe	distanz	enge Verbundenheit oder geringer Abstand	emotionaler oder räumlicher Abstand	В трудный момент ей особенно нужна близость.	После конфликта между ними возникла дистанция.	In einer schweren Zeit braucht sie besonders Nähe.	Nach dem Streit entstand zwischen ihnen Distanz.	antonym::pair level::c1 domain::relation
freiheit	abhängigkeit	Möglichkeit, selbst zu entscheiden	auf andere oder Umstände angewiesen sein	Для него свобода важнее комфорта.	Финансовая зависимость ограничивает ее выбор.	Für ihn ist Freiheit wichtiger als Komfort.	Finanzielle Abhängigkeit schränkt ihre Wahl ein.	antonym::pair level::c1 domain::society
offenheit	abschottung	Bereitschaft, offen mit anderen umzugehen	bewusstes Sich-Abgrenzen nach außen	Нам нужна большая открытость в команде.	Полная изоляция от критики только вредит.	Wir brauchen mehr Offenheit im Team.	Eine völlige Abschottung von Kritik schadet nur.	antonym::pair level::c1 domain::organization
gerechtigkeit	ungerechtigkeit	faire und richtige Behandlung	fehlende Fairness und Benachteiligung	Люди вышли на улицу ради справедливости.	Такое решение усиливает чувство несправедливости.	Die Menschen gingen für Gerechtigkeit auf die Straße.	Eine solche Entscheidung verstärkt das Gefühl von Ungerechtigkeit.	antonym::pair level::c1 domain::society
sicherheit	unsicherheit	geschützter und verlässlicher Zustand	fehlendes Gefühl von Sicherheit oder Klarheit	После ремонта здесь наконец есть безопасность.	Из-за слухов среди сотрудников растет неуверенность.	Nach dem Umbau gibt es hier endlich Sicherheit.	Wegen der Gerüchte wächst unter den Mitarbeitenden Unsicherheit.	antonym::pair level::c1 domain::organization
vertrauen	misstrauen	feste Erwartung, dass jemand verlässlich ist	Zweifel an der Ehrlichkeit oder Zuverlässigkeit	Без доверия сотрудничество невозможно.	После скандала осталось только недоверие.	Ohne Vertrauen ist Zusammenarbeit kaum möglich.	Nach dem Skandal blieb vor allem Misstrauen.	antonym::pair level::c1 domain::relation
akzeptanz	ablehnung	positive Annahme oder Zustimmung	klares Nicht-Annehmen oder Zurückweisen	Новая модель получила широкое принятие.	Среди жителей заметно сильное неприятие проекта.	Das neue Modell fand breite Akzeptanz.	Unter den Anwohnern gibt es starke Ablehnung des Projekts.	antonym::pair level::c1 domain::society
zustimmung	widerspruch	offene Einwilligung oder Unterstützung	offener Einwand gegen etwas	Предложение встретило поддержку большинства.	Против этого пункта сразу последовали возражения.	Der Vorschlag fand breite Zustimmung.	Gegen diesen Punkt kam sofort Widerspruch auf.	antonym::pair level::c1 domain::negotiation
transparenz	geheimhaltung	offene und nachvollziehbare Darstellung	bewusstes Zurückhalten von Informationen	Власти обещали больше прозрачности.	Излишняя секретность только усиливает подозрения.	Die Behörden versprachen mehr Transparenz.	Zu viel Geheimhaltung verstärkt nur das Misstrauen.	antonym::pair level::c1 domain::politics
fortschritt	rückschritt	Entwicklung nach vorn	Verschlechterung oder Bewegung zurück	Эта технология означает реальный прогресс.	Отмена реформы стала шагом назад.	Diese Technologie bedeutet echten Fortschritt.	Die Rücknahme der Reform war ein deutlicher Rückschritt.	antonym::pair level::c1 domain::society
wohlstand	armut	materiell gutes Leben mit genug Mitteln	materieller Mangel und wenig Besitz	Экономический рост приносит стране благосостояние.	Несмотря на работу, многие живут в бедности.	Wirtschaftswachstum kann dem Land Wohlstand bringen.	Trotz Arbeit leben viele Menschen in Armut.	antonym::pair level::c1 domain::economy
ordnung	chaos	geordneter und strukturierter Zustand	völlige Unordnung	После проверки в архиве наконец был порядок.	Без плана на складе быстро начинается хаос.	Nach der Kontrolle herrschte im Archiv endlich Ordnung.	Ohne Plan entsteht im Lager schnell Chaos.	antonym::pair level::c1 domain::organization
toleranz	intoleranz	Bereitschaft, Unterschiede zu akzeptieren	Ablehnung von Menschen oder Ansichten, die anders sind	В многоязычном обществе нужна терпимость.	Его замечание показало явную нетерпимость.	In einer vielfältigen Gesellschaft braucht man Toleranz.	Seine Bemerkung zeigte deutliche Intoleranz.	antonym::pair level::c1 domain::society
pluralität	einförmigkeit	Nebeneinander verschiedener Formen oder Meinungen	fehlende Vielfalt und ständige Gleichartigkeit	Этот журнал ценит разнообразие мнений.	В программе чувствовалось однообразие.	Diese Zeitschrift schätzt Pluralität der Meinungen.	In dem Programm herrschte Einförmigkeit.	antonym::pair level::c1 domain::society
zuversicht	resignation	vertrauensvoller Blick nach vorn	aufgebende Haltung ohne Hoffnung	Несмотря на кризис, она сохраняет уверенность.	После многих отказов его охватила усталость и сдача.	Trotz der Krise bewahrt sie Zuversicht.	Nach vielen Absagen verfiel er in Resignation.	antonym::pair level::c1 domain::emotion
anspruch	bescheidenheit	hoher Maßstab oder Erwartung	zurückhaltende Haltung ohne große Ansprüche	У него высокие требования к качеству.	Ее скромность сразу бросается в глаза.	Er hat einen hohen Anspruch an Qualität.	Ihre Bescheidenheit fällt sofort auf.	antonym::pair level::c1 domain::behavior
beweglichkeit	trägheit	Fähigkeit, sich leicht zu bewegen	langsame, schwere Bewegung oder Antriebslosigkeit	Для этого спорта нужна хорошая подвижность.	После болезни он ощущал сильную вялость.	Für diesen Sport braucht man viel Beweglichkeit.	Nach der Krankheit spürte er große Trägheit.	antonym::pair level::c1 domain::body
